計算日期,到達時停留船隻
2021/8/1 00:00,152
2021/8/1 00:15,155
2021/8/1 00:30,154
2021/8/1 00:45,155
2021/8/1 01:00,154
2021/8/1 01:15,155
2021/8/1 01:30,160
2021/8/1 01:45,158
2021/8/1 02:00,156
2021/8/1 02:15,156
2021/8/1 02:30,157
2021/8/1 02:45,156
2021/8/1 03:00,154
2021/8/1 03:15,156
2021/8/1 03:30,156
2021/8/1 03:45,156
2021/8/1 04:00,157
2021/8/1 04:15,156
2021/8/1 04:30,156
2021/8/1 04:45,154
2021/8/1 05:00,154
2021/8/1 05:15,154
2021/8/1 05:30,154
2021/8/1 05:45,155
2021/8/1 06:00,155
2021/8/1 06:15,154
2021/8/1 06:30,155
2021/8/1 06:45,156
2021/8/1 07:00,156
2021/8/1 07:15,156
2021/8/1 07:30,154
2021/8/1 07:45,154
2021/8/1 08:00,155
2021/8/1 08:15,155
2021/8/1 08:30,155
2021/8/1 08:45,155
2021/8/1 09:00,155
2021/8/1 09:15,155
2021/8/1 09:30,155
2021/8/1 09:45,155
2021/8/1 10:00,156
2021/8/1 10:15,155
2021/8/1 10:30,157
2021/8/1 10:45,158
2021/8/1 11:00,158
2021/8/1 11:15,158
2021/8/1 11:30,157
2021/8/1 11:45,158
2021/8/1 12:00,155
2021/8/1 12:15,154
2021/8/1 12:30,153
2021/8/1 12:45,154
2021/8/1 13:00,153
2021/8/1 13:15,154
2021/8/1 13:30,153
2021/8/1 13:45,152
2021/8/1 14:00,151
2021/8/1 14:15,151
2021/8/1 14:30,151
2021/8/1 14:45,149
2021/8/1 15:00,149
2021/8/1 15:15,149
2021/8/1 15:30,151
2021/8/1 15:45,151
2021/8/1 16:00,146
2021/8/1 16:15,146
2021/8/1 16:30,146
2021/8/1 16:45,145
2021/8/1 17:00,144
2021/8/1 17:15,145
2021/8/1 17:30,145
2021/8/1 17:45,142
2021/8/1 18:00,141
2021/8/1 18:15,143
2021/8/1 18:30,148
2021/8/1 18:45,149
2021/8/1 19:00,151
2021/8/1 19:15,151
2021/8/1 19:30,150
2021/8/1 19:45,149
2021/8/1 20:00,148
2021/8/1 20:15,145
2021/8/1 20:30,143
2021/8/1 20:45,144
2021/8/1 21:00,145
2021/8/1 21:15,145
2021/8/1 21:30,146
2021/8/1 21:45,145
2021/8/1 22:00,145
2021/8/1 22:15,145
2021/8/1 22:30,142
2021/8/1 22:45,145
2021/8/1 23:00,146
2021/8/1 23:15,151
2021/8/1 23:30,152
2021/8/1 23:45,154
2021/8/2 00:00,153
2021/8/2 00:15,153
2021/8/2 00:30,156
2021/8/2 00:45,156
2021/8/2 01:00,156
2021/8/2 01:15,155
2021/8/2 01:30,156
2021/8/2 01:45,155
2021/8/2 02:00,156
2021/8/2 02:15,156
2021/8/2 02:30,159
2021/8/2 02:45,160
2021/8/2 03:00,158
2021/8/2 03:15,161
2021/8/2 03:30,163
2021/8/2 03:45,164
2021/8/2 04:00,165
2021/8/2 04:15,164
2021/8/2 04:30,166
2021/8/2 04:45,165
2021/8/2 05:00,165
2021/8/2 05:15,165
2021/8/2 05:30,165
2021/8/2 05:45,165
2021/8/2 06:00,165
2021/8/2 06:15,162
2021/8/2 06:30,162
2021/8/2 06:45,162
2021/8/2 07:00,163
2021/8/2 07:15,163
2021/8/2 07:30,163
2021/8/2 07:45,163
2021/8/2 08:00,163
2021/8/2 08:15,162
2021/8/2 08:30,162
2021/8/2 08:45,162
2021/8/2 09:00,162
2021/8/2 09:15,162
2021/8/2 09:30,163
2021/8/2 09:45,162
2021/8/2 10:00,158
2021/8/2 10:15,161
2021/8/2 10:30,162
2021/8/2 10:45,164
2021/8/2 11:00,165
2021/8/2 11:15,165
2021/8/2 11:30,165
2021/8/2 11:45,164
2021/8/2 12:00,164
2021/8/2 12:15,165
2021/8/2 12:30,162
2021/8/2 12:45,163
2021/8/2 13:00,164
2021/8/2 13:15,161
2021/8/2 13:30,160
2021/8/2 13:45,162
2021/8/2 14:00,163
2021/8/2 14:15,162
2021/8/2 14:30,161
2021/8/2 14:45,158
2021/8/2 15:00,156
2021/8/2 15:15,159
2021/8/2 15:30,158
2021/8/2 15:45,155
2021/8/2 16:00,153
2021/8/2 16:15,153
2021/8/2 16:30,154
2021/8/2 16:45,152
2021/8/2 17:00,153
2021/8/2 17:15,152
2021/8/2 17:30,151
2021/8/2 17:45,151
2021/8/2 18:00,149
2021/8/2 18:15,147
2021/8/2 18:30,150
2021/8/2 18:45,150
2021/8/2 19:00,154
2021/8/2 19:15,155
2021/8/2 19:30,157
2021/8/2 19:45,157
2021/8/2 20:00,155
2021/8/2 20:15,155
2021/8/2 20:30,155
2021/8/2 20:45,155
2021/8/2 21:00,155
2021/8/2 21:15,156
2021/8/2 21:30,157
2021/8/2 21:45,156
2021/8/2 22:00,156
2021/8/2 22:15,155
2021/8/2 22:30,155
2021/8/2 22:45,154
2021/8/2 23:00,153
2021/8/2 23:15,152
2021/8/2 23:30,153
2021/8/2 23:45,157
2021/8/3 00:00,157
2021/8/3 00:15,157
2021/8/3 00:30,157
2021/8/3 00:45,158
2021/8/3 01:00,159
2021/8/3 01:15,159
2021/8/3 01:30,156
2021/8/3 01:45,156
2021/8/3 02:00,162
2021/8/3 02:15,164
2021/8/3 02:30,164
2021/8/3 02:45,165
2021/8/3 03:00,164
2021/8/3 03:15,164
2021/8/3 03:30,164
2021/8/3 03:45,164
2021/8/3 04:00,165
2021/8/3 04:15,165
2021/8/3 04:30,164
2021/8/3 04:45,164
2021/8/3 05:00,165
2021/8/3 05:15,165
2021/8/3 05:30,164
2021/8/3 05:45,164
2021/8/3 06:00,160
2021/8/3 06:15,160
2021/8/3 06:30,159
2021/8/3 06:45,159
2021/8/3 07:00,159
2021/8/3 07:15,157
2021/8/3 07:30,158
2021/8/3 07:45,158
2021/8/3 08:00,158
2021/8/3 08:15,158
2021/8/3 08:30,157
2021/8/3 08:45,157
2021/8/3 09:00,157
2021/8/3 09:15,157
2021/8/3 09:30,156
2021/8/3 09:45,156
2021/8/3 10:00,156
2021/8/3 10:15,156
2021/8/3 10:30,157
2021/8/3 10:45,156
2021/8/3 11:00,158
2021/8/3 11:15,158
2021/8/3 11:30,159
2021/8/3 11:45,160
2021/8/3 12:00,159
2021/8/3 12:15,159
2021/8/3 12:30,158
2021/8/3 12:45,159
