Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
XIANGRUI1518,DEPARTURE,Port,SHANGHAI,2021-11-14 23:54 UTC,16m,In Transit,Other Cargo,DRY BREAKBULK
YING ZHOU 9,DEPARTURE,Port,SHANGHAI,2021-11-14 23:53 UTC,26m,Not in Transit,High Speed Craft,PASSENGER SHIPS
JI MU,DEPARTURE,Port,SHANGHAI,2021-11-14 23:53 UTC,40m,In Transit,Other Cargo,DRY BREAKBULK
C.H. YANG SHAN 3002,DEPARTURE,Port,SHANGHAI,2021-11-14 23:47 UTC,35m,In Transit,Other Cargo,DRY BREAKBULK
YING ZHOU 7,DEPARTURE,Port,SHANGHAI,2021-11-14 23:45 UTC,14m,Not in Transit,High Speed Craft,PASSENGER SHIPS
YUWANHUO3688,DEPARTURE,Port,SHANGHAI,2021-11-14 23:40 UTC,29m,In Transit,Other Cargo,DRY BREAKBULK
FU HANG ZHI XIN,DEPARTURE,Port,SHANGHAI,2021-11-14 23:36 UTC,54m,In Transit,Other Cargo,DRY BREAKBULK
HAI GANG 3,DEPARTURE,Port,SHANGHAI,2021-11-14 23:33 UTC,46m,Not in Transit,Other Special Craft,OTHER MARKETS
LONG DA YOU 6,DEPARTURE,Port,SHANGHAI,2021-11-14 23:14 UTC,30m,In Transit,Other Tanker,WET BULK
CHANG DA 207,DEPARTURE,Port,SHANGHAI,2021-11-14 22:58 UTC,32m,In Transit,Other Cargo,DRY BREAKBULK
BO KANG 66,DEPARTURE,Port,SHANGHAI,2021-11-14 22:57 UTC,26m,In Transit,Other Cargo,DRY BREAKBULK
HAIXING828,DEPARTURE,Port,SHANGHAI,2021-11-14 22:54 UTC,25m,In Transit,Other Cargo,DRY BREAKBULK
KEJIAN,DEPARTURE,Port,SHANGHAI,2021-11-14 22:54 UTC,26m,In Transit,Other Cargo,DRY BREAKBULK
ZHENGHANG168,DEPARTURE,Port,SHANGHAI,2021-11-14 22:50 UTC,1h ,In Transit,Other Cargo,DRY BREAKBULK
CHANG YAO HAI,DEPARTURE,Port,SHANGHAI,2021-11-14 22:49 UTC,28m,In Transit,Bulk Carrier,DRY BULK
HAI CHUAN 998,DEPARTURE,Port,SHANGHAI,2021-11-14 22:46 UTC,30m,In Transit,Other Cargo,DRY BREAKBULK
SHUN HENG 7,DEPARTURE,Port,SHANGHAI,2021-11-14 22:40 UTC,33m,In Transit,Other Cargo,DRY BREAKBULK
SHI HUA 66,DEPARTURE,Port,SHANGHAI,2021-11-14 22:33 UTC,22m,In Transit,Bulk Carrier,DRY BULK
HANG DA 02,DEPARTURE,Port,SHANGHAI,2021-11-14 22:31 UTC,44m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
BAI XIANG,DEPARTURE,Port,SHANGHAI,2021-11-14 22:22 UTC,51m,In Transit,Other Cargo,DRY BREAKBULK
XIN HAI SHUN,DEPARTURE,Port,SHANGHAI,2021-11-14 22:02 UTC,53m,In Transit,Other Cargo,DRY BREAKBULK
YIN GANG 5,DEPARTURE,Port,SHANGHAI,2021-11-14 21:56 UTC,20m,In Transit,Other Cargo,DRY BREAKBULK
DA QING 453,DEPARTURE,Port,SHANGHAI,2021-11-14 21:46 UTC,48m,In Transit,Crude Oil Tanker,WET BULK
HAI LIAN 67,DEPARTURE,Port,SHANGHAI,2021-11-14 21:40 UTC,53m,In Transit,Other Cargo,DRY BREAKBULK
HU HANG 20,DEPARTURE,Port,SHANGHAI,2021-11-14 21:35 UTC,32m,Not in Transit,Other Passenger,PASSENGER SHIPS
SU JUN BO 598,DEPARTURE,Port,SHANGHAI,2021-11-14 21:32 UTC,58m,In Transit,Dredger,OTHER MARKETS
