計算日期,到達時停留船隻
2021/8/1 00:00,84
2021/8/1 00:15,85
2021/8/1 00:30,85
2021/8/1 00:45,88
2021/8/1 01:00,87
2021/8/1 01:15,88
2021/8/1 01:30,87
2021/8/1 01:45,85
2021/8/1 02:00,83
2021/8/1 02:15,83
2021/8/1 02:30,87
2021/8/1 02:45,85
2021/8/1 03:00,87
2021/8/1 03:15,87
2021/8/1 03:30,83
2021/8/1 03:45,84
2021/8/1 04:00,85
2021/8/1 04:15,85
2021/8/1 04:30,85
2021/8/1 04:45,85
2021/8/1 05:00,85
2021/8/1 05:15,85
2021/8/1 05:30,85
2021/8/1 05:45,85
2021/8/1 06:00,85
2021/8/1 06:15,85
2021/8/1 06:30,88
2021/8/1 06:45,86
2021/8/1 07:00,86
2021/8/1 07:15,88
2021/8/1 07:30,87
2021/8/1 07:45,87
2021/8/1 08:00,87
2021/8/1 08:15,85
2021/8/1 08:30,85
2021/8/1 08:45,86
2021/8/1 09:00,85
2021/8/1 09:15,85
2021/8/1 09:30,85
2021/8/1 09:45,85
2021/8/1 10:00,86
2021/8/1 10:15,84
2021/8/1 10:30,82
2021/8/1 10:45,88
2021/8/1 11:00,93
2021/8/1 11:15,89
2021/8/1 11:30,91
2021/8/1 11:45,89
2021/8/1 12:00,92
2021/8/1 12:15,92
2021/8/1 12:30,91
2021/8/1 12:45,92
2021/8/1 13:00,92
2021/8/1 13:15,92
2021/8/1 13:30,93
2021/8/1 13:45,95
2021/8/1 14:00,92
2021/8/1 14:15,93
2021/8/1 14:30,95
2021/8/1 14:45,92
2021/8/1 15:00,91
2021/8/1 15:15,92
2021/8/1 15:30,89
2021/8/1 15:45,90
2021/8/1 16:00,87
2021/8/1 16:15,86
2021/8/1 16:30,88
2021/8/1 16:45,87
2021/8/1 17:00,88
2021/8/1 17:15,86
2021/8/1 17:30,87
2021/8/1 17:45,86
2021/8/1 18:00,83
2021/8/1 18:15,80
2021/8/1 18:30,82
2021/8/1 18:45,85
2021/8/1 19:00,84
2021/8/1 19:15,85
2021/8/1 19:30,84
2021/8/1 19:45,85
2021/8/1 20:00,87
2021/8/1 20:15,85
2021/8/1 20:30,85
2021/8/1 20:45,87
2021/8/1 21:00,90
2021/8/1 21:15,90
2021/8/1 21:30,88
2021/8/1 21:45,87
2021/8/1 22:00,86
2021/8/1 22:15,84
2021/8/1 22:30,79
2021/8/1 22:45,82
2021/8/1 23:00,87
2021/8/1 23:15,89
2021/8/1 23:30,88
2021/8/1 23:45,90
2021/8/2 00:00,90
2021/8/2 00:15,88
2021/8/2 00:30,88
2021/8/2 00:45,88
2021/8/2 01:00,88
2021/8/2 01:15,91
2021/8/2 01:30,90
